time_diff_minutes,distance_km,scan_day_of_week,scan_hour_of_day,is_first_scan,historical_attendance_rate,last_attendance_streak,is_proxy
14.04549169,0.063443736,5,10,0,0.777671282,16,0
31.35991805,18.00103981,6,11,0,0.715848006,19,1
0,11.95135331,3,10,0,0.917825455,3,0
17.56074263,0.802411118,4,10,0,0.736390899,12,0
43.11731021,0.796779613,2,11,0,0.790832538,5,0
92.77767638,1.053656811,6,12,0,0.859741272,2,0
4.330239825,23.35744902,1,8,0,0.869324976,22,0
0,7.596519266,3,11,1,0.880174959,7,0
5.061917071,8.043883411,6,15,0,0.749876599,13,0
67.85439228,13.62583939,6,17,1,0.813921221,15,1
41.8606508,6.265328571,5,14,1,0.885158268,22,1
3.821133544,1.635740297,1,16,0,0.990945659,3,0
50.03632858,2.218748073,1,12,0,0.918289341,21,0
31.59549732,3.3788491,1,17,0,0.976781127,20,0
70.21351458,3.698557241,6,11,1,0.928663617,5,0
0,10.81130567,2,15,0,0.877515091,24,0
12.77583503,4.527777279,0,16,0,0.757607011,8,0
9.920316483,10.85790119,3,14,0,0.900005696,22,0
0,3.294081064,0,14,0,0.88701387,1,0
40.41482114,4.775974791,6,12,0,0.880740751,8,0
38.86113648,0,0,11,0,0.84693576,24,0
27.52068825,12.56610624,6,17,0,0.858596981,18,1
16.89986754,7.266879678,0,8,1,0.800332758,20,1
0,13.32571304,1,17,0,0.855793808,16,1
8.655871694,0,4,17,1,0.759266772,18,0
12.10888414,23.46557185,1,14,0,0.941552319,20,0
0,2.746590437,1,8,1,0.755733086,12,0
20.14775799,14.35026547,5,8,0,0.725489887,13,0
45.19708444,0,5,12,0,0.830873808,13,0
110.8685563,9.743204266,0,16,0,0.897492232,10,0
35.02943298,0,6,13,1,0.831315047,7,0
38.70583975,0,1,10,0,0.78302624,14,0
23.99551616,21.84426374,0,10,1,0.867451355,24,1
0,2.271452577,5,14,1,0.804100701,16,0
26.11932239,6.066725531,4,13,0,0.979860307,15,0
29.96283974,12.13591133,3,16,0,0.976793542,12,1
120,8.654305629,0,13,0,0.850711546,9,0
18.77085403,5.44352832,4,12,0,0.798365198,8,0
40.65528733,7.438665164,3,17,1,0.921139724,18,0
25.75608438,26.39529835,2,14,0,0.711013883,23,1
0,3.508879179,0,8,0,0.842430702,18,1
77.93110692,5.914828913,0,14,1,0.800897018,13,0
60.6112902,13.81527922,2,10,0,0.976160766,18,1
62.34371213,14.32555774,2,16,1,0.703600908,15,0
0,15.08350865,0,13,0,0.865844463,4,0
89.45010507,9.984585351,2,16,0,0.922199074,17,1
0,0,1,12,0,0.845505396,5,0
53.29699052,19.23482228,3,14,0,0.725620909,22,0
120,0,3,11,0,0.991738417,16,1
0,6.859068072,3,14,0,0.855403129,9,0
2.2022034,0,1,8,0,0.884255873,10,0
31.70953974,3.448250548,6,14,0,0.770982935,24,0
4.985767678,7.102035916,2,15,0,0.845049426,18,0
0,7.033171216,4,12,0,0.828744848,17,0
30.33205369,7.968363068,2,9,0,0.722468753,18,0
0,19.05143346,0,12,0,0.731848106,7,0
48.27838094,8.262353636,5,13,0,0.951241756,4,0
0,1.774168283,3,9,0,0.771945986,5,0
95.96969084,13.01024623,2,13,0,0.758487481,23,0
0,15.10620116,4,13,0,0.851473435,16,1
13.02399166,0,0,8,0,0.930624139,3,0
63.34000515,9.600235098,1,8,0,0.718583956,18,0
0,10.56527033,6,17,1,0.873042376,23,0
37.37257086,1.277510464,1,10,0,0.735763133,21,0
85.21190927,16.83810813,4,17,0,0.710938315,14,1
0,2.649262126,0,17,0,0.715823186,15,0
35.47500325,5.212505639,3,10,0,0.950249232,17,0
38.80918551,2.435222347,2,11,1,0.735391745,1,0
61.93567001,4.189583425,0,9,0,0.713545409,21,1
0,0,6,16,0,0.831369966,17,0
0,0,1,17,0,0.953198042,23,0
50.42066808,18.87282511,6,14,0,0.778722513,11,1
40.45312141,0,6,14,0,0.826513785,17,0
38.39312934,0,4,13,0,0.71197676,14,0
42.64478623,0,4,10,0,0.834723554,20,0
0,0,2,13,0,0.873283924,19,0
37.58497623,0,4,15,0,0.871272116,21,0
40.27977693,19.31464584,4,15,0,0.799728008,7,1
0,13.43551219,0,16,0,0.794659954,24,0
109.9641543,0,3,8,0,0.731987086,13,0
48.28903675,24.99126005,2,8,1,0.810039496,18,0
0,13.17464597,0,10,0,0.729848401,23,1
56.38515225,1.02393248,3,10,1,0.929978783,14,0
0,0,6,17,0,0.989882289,1,0
62.1688105,25.3493542,0,15,0,0.991022337,7,1
78.62997756,0,5,17,0,0.95952133,8,1
0,0,0,8,0,0.880237645,18,0
69.9800582,13.55411205,4,9,0,0.910259709,9,0
45.58390247,26.73321306,3,9,0,0.785561741,1,1
63.71853181,16.9177678,2,10,0,0.889231126,22,0
111.3385423,9.288785603,2,13,1,0.836694865,17,0
16.42129008,9.575631117,3,8,0,0.844605202,19,0
0,11.98105425,4,9,0,0.927332968,6,0
0,11.10237153,1,8,0,0.784575507,3,0
0,6.65964895,0,12,0,0.795411884,24,0
23.8778414,5.013725316,4,14,0,0.977392537,5,0
42.41011697,3.462620328,5,15,0,0.716867288,2,0
39.55392631,0,6,17,1,0.84569029,20,0
63.9455292,1.434564591,3,8,0,0.97384024,4,0
27.87021453,0,0,14,0,0.883108902,10,0
91.69831797,3.130195327,2,12,0,0.863922122,10,1
15.56751834,0,6,17,1,0.774923254,24,0
120,0,1,8,0,0.802982647,21,0
55.01662229,5.717633729,5,10,0,0.955614525,11,0
0,16.98964808,2,14,0,0.86776544,16,0
0,12.58460233,3,17,0,0.854422658,17,0
48.67184148,0,0,8,0,0.729873914,16,0
17.39277291,0,3,14,0,0.704808447,7,0
58.93054886,12.79341899,6,12,0,0.989105557,16,1
48.26265994,0,0,8,0,0.81309585,3,0
24.06716346,1.955727172,4,8,0,0.880963919,16,0
0,9.159922068,1,8,0,0.723914522,8,0
0,0,4,16,0,0.904934286,12,0
7.50962214,5.024646683,4,10,0,0.979770013,3,0
65.24003193,0,3,12,0,0.872699576,17,0
36.78033238,0,6,17,0,0.737834597,21,0
0,7.018521868,1,16,0,0.874516458,18,0
34.96753874,0,0,13,1,0.929904164,11,0
44.36702849,8.140906066,0,16,1,0.821924961,4,1
0,3.862083932,5,15,0,0.963951324,16,0
34.10547672,9.182592933,2,15,0,0.894604886,17,1
29.87327009,6.126998096,5,8,0,0.969774675,9,0
0,16.7305464,5,16,0,0.887051593,6,0
43.14720922,5.209232668,0,13,0,0.739386392,24,0
52.14174904,0.05144383,3,16,0,0.792907513,20,1
75.28270651,5.182012999,4,10,0,0.760538484,2,0
73.98671297,9.097112512,6,10,0,0.972647949,9,0
0,4.499080701,4,13,0,0.92812002,21,0
0,4.422188808,4,16,0,0.902919511,6,0
50.114659,0,1,14,0,0.790289896,3,0
50.05930343,0,0,10,0,0.755213432,20,0
50.11520928,0,6,10,1,0.926935326,6,0
120,20.31491609,3,9,1,0.842247384,7,0
52.58953204,0,1,16,0,0.767736866,1,0
77.60955099,0,2,10,0,0.884986593,23,1
69.56469228,0,3,12,0,0.712100156,1,0
56.15641492,12.36706601,5,16,0,0.797851076,5,1
13.32494836,1.301817762,3,15,0,0.840567098,6,0
60.92305451,15.64809846,3,9,0,0.7443875,13,1
0,0,4,10,0,0.995396343,2,0
16.80099387,6.639215487,3,9,0,0.762729209,15,0
5.788291499,0,5,15,0,0.739105939,15,0
30.92185404,23.99354629,5,13,0,0.761060462,13,0
120,0,0,13,0,0.93071834,14,0
0,6.925887345,3,16,0,0.827651698,22,0
57.70141216,9.938521695,4,15,1,0.869624782,7,1
0,7.892835622,3,11,0,0.706302747,14,0
6.383431823,2.321621045,2,11,0,0.710329393,24,0
75.54409918,2.837436706,2,16,1,0.833747665,10,0
30.14228151,4.452131199,4,8,1,0.944996573,17,0
0,2.67765898,0,9,0,0.965571664,14,0
0,13.00831145,0,9,1,0.72601197,8,0
57.40620807,24.60149142,5,13,0,0.861508931,4,0
0,0,5,11,0,0.973968906,16,0
36.8851156,0,1,17,0,0.816391826,24,0
29.31334647,3.2237259,4,10,0,0.948869749,13,0
0,28.03474424,3,10,0,0.740108696,22,0
120,0,6,10,0,0.980618347,20,0
55.38224323,19.28769255,4,13,0,0.925426995,18,0
0,19.64650501,1,15,0,0.982400318,14,0
35.5556653,0,5,14,0,0.90298517,18,0
0,9.335970948,4,11,0,0.80902118,5,0
65.06432759,19.18800009,4,11,0,0.981454352,9,0
0,0.519002844,5,17,0,0.782670033,3,0
22.21029548,2.151507847,1,9,0,0.799651757,8,0
49.66944574,0,5,8,1,0.910242525,20,0
65.65460182,0,0,16,0,0.92959489,22,0
0,0,3,9,0,0.978821045,10,0
12.4728039,0,5,15,0,0.761440723,22,0
6.249909986,4.36166551,1,16,0,0.939399411,19,0
0,0,2,11,0,0.921563816,21,0
105.5190938,6.218800813,0,15,0,0.719138367,3,0
45.23832938,0,2,16,0,0.816166942,11,0
0,7.121730626,6,17,0,0.784829637,11,0
67.96338412,11.7961186,5,17,1,0.791347127,17,0
120,0,0,12,0,0.994884064,16,0
73.04130756,7.523249503,3,14,0,0.892833224,7,0
0,15.46142861,5,17,1,0.915302847,4,1
5.838337063,0,3,11,0,0.992985291,23,0
83.42929929,19.59881314,4,8,0,0.813160535,19,1
0,7.941378256,2,10,0,0.940552051,12,0
46.959178,0,0,12,0,0.830359289,15,0
61.61714284,3.526080666,3,10,0,0.960860102,11,0
0,9.236873796,1,14,0,0.754197262,5,0
24.65662671,4.751518944,3,16,0,0.984305853,5,0
0,9.054873787,1,13,0,0.765631513,15,0
0,0,5,17,0,0.797866152,18,0
16.10315207,5.619678925,0,8,0,0.92685767,11,0
0,0,3,14,0,0.818126542,12,1
99.62413473,3.010357772,6,10,1,0.882463413,2,1
0,0,3,12,0,0.83337205,20,0
7.796320026,0,6,17,0,0.922710981,15,0
33.08706221,15.5397694,0,11,0,0.768499376,20,0
91.15505843,14.19335762,3,17,0,0.717537396,4,1
0,9.709393247,1,12,0,0.789978819,22,0
78.83238736,0,3,12,0,0.842292599,18,1
27.74753124,1.102261656,2,13,1,0.750406016,6,0
0,15.3259227,5,17,1,0.806439187,23,0
47.76932025,5.362604044,4,17,0,0.819994905,19,0
36.11419329,25.61333915,1,13,0,0.717217553,11,0
0.699290185,7.702369914,2,15,0,0.874992174,24,0
30.38695705,5.830668977,6,15,0,0.965303028,2,0
10.22137441,1.170073564,5,16,0,0.745522874,8,0
32.32392325,5.286571151,0,15,0,0.879342404,11,0
56.63226477,2.626810784,1,9,0,0.899421761,5,1
97.56845545,10.62977113,4,17,0,0.825800404,18,1
0,12.94157071,5,8,0,0.910329276,23,0
120,0,6,17,1,0.823219463,18,0
0,0,4,9,0,0.851391186,14,0
20.56871793,0,0,9,0,0.702205913,22,0
53.36168621,8.768777406,0,10,0,0.907516034,10,0
39.74450104,0,6,17,0,0.898402804,3,0
0,0,1,14,0,0.711520263,9,0
18.07249201,7.658297341,6,9,0,0.810475032,3,0
5.449888844,27.22838522,3,8,0,0.993709552,11,0
1.180133486,3.988249367,0,13,0,0.826220969,12,0
64.93887914,11.84226104,5,16,0,0.850583622,12,0
43.11300847,4.805678997,3,10,0,0.972979047,3,0
0,3.12508035,2,13,0,0.915178563,21,0
67.15421553,12.59166881,4,10,1,0.874621039,7,1
40.91015886,1.345294228,3,8,0,0.939341404,14,1
63.31097859,6.531323959,4,12,0,0.95930988,24,0
55.19215093,7.036338544,6,17,0,0.837066422,11,0
0,0,3,11,1,0.842532509,7,0
2.473225935,13.27021578,6,14,0,0.815815281,21,0
60.40572322,2.417665497,2,13,0,0.990011842,10,0
54.33882851,0,0,17,0,0.909149876,11,0
26.36799526,9.033985698,2,14,0,0.72496692,15,1
32.49274107,0,0,12,0,0.958887887,19,0
83.90578378,4.306776898,6,11,0,0.844167982,16,0
1.082360503,3.959903662,0,14,1,0.720626172,22,0
51.53528948,14.1430049,4,14,0,0.864915177,21,0
18.33522477,8.459167873,5,13,0,0.825149284,20,0
17.64894727,3.811967375,2,15,0,0.963324821,12,0
75.97948774,11.64953353,3,11,0,0.761198381,18,0
63.86724017,16.97295789,2,17,1,0.947939383,23,0
63.33966923,9.232069611,4,12,0,0.867306607,13,1
85.13818194,4.140980197,0,11,0,0.716383091,5,0
28.22477049,0,4,8,0,0.99155359,4,0
57.5105649,0,1,15,0,0.853784573,14,0
13.54660209,1.206265032,1,8,0,0.787263056,8,0
41.65750618,0,3,12,0,0.840822053,9,0
21.52764855,2.305963976,4,13,1,0.957357335,19,1
31.59188242,4.571522548,6,13,1,0.791470937,3,0
53.66474968,8.970590094,3,12,0,0.757802919,5,1
0,3.389101638,6,10,1,0.738721374,21,0
120,8.568933836,3,12,0,0.78935782,18,1
0,4.644286487,1,15,0,0.934014426,1,0
0,0,3,9,0,0.84148791,8,0
78.60850089,0,1,13,0,0.768244481,19,0
62.37165971,2.704761905,0,16,0,0.7498555,17,0
54.94805322,0,6,15,0,0.799818843,17,1
55.13528813,9.623750404,4,15,0,0.981977312,11,1
26.75147911,18.27994187,3,15,0,0.802908014,2,1
0,15.37859655,1,14,0,0.996437223,6,0
30.65291881,2.059791308,2,15,0,0.845569137,22,0
0,17.90773172,6,13,0,0.753749175,14,0
70.500402,5.427240709,3,9,0,0.967342028,3,0
20.77819676,0.909970794,5,9,0,0.838106612,12,0
0,0,0,15,0,0.912901403,4,0
13.05392992,1.231885354,0,8,1,0.995113475,12,0
45.59057214,0.434850837,2,13,0,0.715052605,13,1
2.31621751,5.629493615,1,13,0,0.729008368,2,0
0,5.537965572,3,11,1,0.916137022,2,0
38.09158035,4.073032384,6,17,0,0.784547501,15,0
38.14826711,8.108017706,1,10,0,0.755290419,23,0
4.832126331,15.1171354,0,10,0,0.711808564,17,0
6.423024309,12.87509611,1,8,1,0.706554014,7,0
37.5759479,0,0,10,0,0.932345681,14,0
0,0,1,11,0,0.740330028,12,0
0,12.73342526,2,12,0,0.840316185,17,0
0,0,4,10,0,0.881769045,14,0
17.83655258,1.954497294,2,13,0,0.82850554,6,0
41.07002662,0,2,12,0,0.708131996,19,0
92.66522854,0,4,10,0,0.935050451,24,0
65.29589762,9.080045109,4,13,1,0.703153967,6,0
20.20744986,11.10447853,3,13,0,0.928566968,18,0
26.45153426,0,6,15,0,0.967991348,24,0
0,0,6,9,1,0.829851976,5,0
26.47382472,0,3,8,0,0.860662742,24,1
14.50402961,7.688291996,2,11,0,0.843095018,24,0
41.5933564,0,2,14,0,0.816762586,6,0
0,5.749863687,0,17,1,0.966227361,2,0
50.30568474,3.902331754,0,10,0,0.968180053,8,0
95.207781,9.431834229,6,10,0,0.800744909,15,1
22.47509723,5.156744973,3,12,1,0.884520926,15,0
45.09344043,0,5,12,0,0.978072269,11,0
57.87349834,15.17223712,5,17,1,0.98861755,22,1
9.516561516,2.57045819,3,10,1,0.852687712,22,0
37.22336342,3.790786985,0,16,0,0.835847442,24,0
27.85207051,0,6,11,0,0.783608295,1,0
31.62201826,0,6,10,0,0.987661562,18,0
0,0,0,9,0,0.742844291,12,0
28.38013152,2.436391895,5,17,0,0.873948873,12,0
49.35977281,19.96275971,1,16,0,0.78476508,11,0
91.59239939,0,1,11,1,0.783702487,8,1
69.79815757,0,0,10,0,0.821490576,7,0
120,17.72587224,1,14,0,0.999637881,23,1
0,2.098097801,4,15,1,0.716489892,21,0
65.94550802,0,3,9,1,0.873562545,2,0
35.41776294,13.71531217,3,14,0,0.724771647,11,0
120,0,0,12,1,0.746356249,22,0
0,21.02570542,2,12,0,0.831868883,10,1
0,10.34908577,5,10,1,0.853138039,3,0
0.735810817,0,0,12,0,0.777637723,20,0
0,24.10661985,1,9,0,0.794937139,10,0
3.998597942,0,5,11,0,0.726090106,18,0
0,10.94583082,2,13,0,0.790965935,14,0
33.95787029,6.827980874,1,8,0,0.989967532,18,0
42.43687947,16.15026484,6,17,0,0.983412215,24,0
110.424802,18.56599825,4,11,0,0.800463487,8,1
69.40615907,4.342328856,1,13,1,0.871256181,10,0
1.732268641,0,4,16,0,0.972878617,22,0
0,8.32222242,5,9,0,0.701855147,13,0
49.09041493,0,4,14,0,0.943205071,21,0
0,22.76822508,5,13,0,0.984510866,8,0
108.4436683,5.314417854,5,9,1,0.72739772,4,1
79.55357203,0.647393673,5,15,1,0.748434306,4,0
6.505556058,5.762142633,5,14,0,0.988223891,5,0
0,0,5,12,0,0.861262043,1,1
87.28243782,0,1,12,0,0.70425899,17,1
22.2190064,15.20796962,5,14,0,0.7772896,2,0
82.14014497,0,1,16,1,0.834983102,8,0
0,0,5,16,0,0.907872673,7,0
0.736591647,9.035314682,4,16,0,0.919948113,15,1
27.52645915,15.07117609,6,13,0,0.998626454,5,0
29.37576652,10.73062094,5,17,0,0.78625336,2,1
7.352303252,13.30746345,2,13,1,0.861466031,7,0
54.89178628,0,5,10,0,0.859997064,8,0
0,0,5,8,0,0.821693578,7,0
20.98546825,18.00637644,4,14,0,0.750748568,7,1
32.62426029,1.043940796,3,11,0,0.993236969,14,0
50.08823183,1.712081195,4,8,0,0.955995156,21,0
58.82484533,16.39626346,2,15,0,0.849499908,18,0
0,9.21737362,3,13,0,0.880973627,6,1
0,8.284239764,0,13,0,0.768178316,4,0
83.90631221,24.17817152,0,9,0,0.863136121,10,0
42.01851836,0,2,8,0,0.90849104,18,1
0,12.67316644,4,9,0,0.854550109,12,1
96.0236398,4.574900131,1,11,0,0.997085551,16,0
32.41950991,6.542483047,2,9,0,0.883402497,7,0
79.5472387,18.2587166,6,8,0,0.811292114,6,0
30.28577355,8.767330675,3,14,0,0.931645608,5,0
118.6031721,9.050596817,3,15,0,0.751138753,3,0
105.0709823,14.01850091,5,13,0,0.815354744,12,0
16.26284075,0.650823535,0,11,0,0.804087685,15,0
70.34316007,0,3,13,0,0.829542129,10,1
55.88988475,0,2,10,0,0.934533948,20,0
87.93639799,0,3,15,0,0.84525191,19,0
0,23.1664291,2,17,0,0.938204335,16,0
57.69216359,0,1,9,0,0.872946671,11,0
74.19152704,1.987155119,5,12,1,0.80262083,8,1
0,1.470477233,0,8,0,0.942993623,3,0
0,6.903438208,3,13,0,0.771486901,23,1
0,11.63066401,2,9,0,0.767314894,7,0
15.35705198,12.04668955,4,11,0,0.851350877,23,0
59.08747971,0,0,13,0,0.778254774,7,0
93.86160035,2.490555472,1,17,0,0.70272611,14,1
30.57716079,6.672561569,2,15,1,0.894489258,2,0
99.45594962,1.73199973,6,15,0,0.853328146,10,0
0,18.99223562,6,13,1,0.833655344,19,0
0,8.610533417,5,11,0,0.990090554,9,0
24.83287151,10.87871079,5,15,0,0.871359755,16,0
44.31155707,10.2091783,1,15,0,0.959029473,19,0
25.84545598,14.95744029,1,17,0,0.741835071,18,0
0,5.728118069,5,8,0,0.870761939,9,0
23.34532486,0,3,11,0,0.960393888,16,0
0,7.761608851,3,11,0,0.874931727,13,0
56.96643539,0,2,14,1,0.915404253,10,0
43.53760808,0,4,14,1,0.81161307,20,1
0,9.497605207,2,15,0,0.727734855,14,0
4.52534435,15.56013437,4,12,0,0.837370089,12,0
0,4.242521169,1,14,0,0.818343817,19,0
24.51688855,6.916702239,0,15,0,0.960118055,7,0
69.61522887,19.87447446,2,16,0,0.773198591,23,1
0,6.283593003,2,10,0,0.990020268,15,0
49.62776174,28.23908965,4,10,0,0.987441436,16,1
3.799093752,9.30366971,1,11,0,0.774289493,8,0
0,0,1,12,1,0.804415587,10,0
22.55174191,11.05041545,6,17,0,0.968666722,4,1
0,7.589292919,4,8,1,0.989986666,19,1
2.762638592,16.03877731,1,14,0,0.833031731,19,0
0,10.30496405,5,16,0,0.796299114,21,0
114.3485273,2.757132775,3,15,0,0.857828204,15,0
28.85659967,0,6,12,0,0.906330762,14,1
0,2.100891559,5,11,0,0.782042355,1,0
36.77528858,0,0,14,0,0.920941952,16,0
22.31700818,0,2,12,0,0.715497207,10,0
17.50324272,9.518197913,6,14,0,0.714788348,19,1
54.50704358,19.57400313,0,8,0,0.815886312,22,1
60.85829689,7.714958574,2,8,0,0.806041958,3,0
3.788303288,0,3,17,0,0.794689965,5,0
1.780361966,8.179293803,1,10,0,0.847305929,9,0
15.10693547,15.17279495,5,9,0,0.796220075,18,1
0,0,4,9,0,0.757677376,11,0
0,2.798411611,5,14,1,0.792840865,16,0
87.85853476,4.181298928,3,17,0,0.992471282,2,0
100.1804929,0,0,9,0,0.823334025,12,1
16.25965535,10.07339766,4,11,0,0.833413833,22,0
52.84060516,2.919947103,1,9,0,0.872963497,6,0
41.08520629,7.946152947,3,13,0,0.995002231,11,0
120,0,4,15,0,0.772480383,8,0
76.90102264,0,3,17,0,0.904384633,12,1
21.62625591,10.76250011,3,11,0,0.914795408,2,0
0,0.57753945,1,12,0,0.882197325,9,0
0,20.10462722,6,11,0,0.726573502,15,0
36.30932614,0.328284313,2,10,0,0.903061683,2,0
0,6.134164222,4,12,1,0.719228413,1,0
0,12.71734567,1,16,0,0.878842795,10,0
0,0,3,15,0,0.921874353,2,0
0,0,1,15,0,0.763290967,12,0
102.0491644,0,6,15,0,0.952486602,23,0
66.35842609,15.78612211,2,15,1,0.709106142,8,1
26.9408603,0,5,14,0,0.953143859,5,0
92.86851338,27.83471125,4,15,1,0.838098715,22,1
30.72220651,0,2,15,1,0.765276382,1,0
0,5.760942971,0,15,0,0.740133443,15,0
94.78176017,18.38557614,4,17,0,0.98599215,6,0
51.17251923,22.7003911,2,14,0,0.721799676,12,0
0,23.21568347,3,8,1,0.759728026,8,1
18.86045892,15.28192234,4,11,0,0.804346704,13,1
0,13.5679878,4,11,0,0.886070455,19,0
0,9.554917453,1,12,0,0.863440326,1,0
68.33183753,11.28308418,3,17,0,0.737693048,11,0
111.8978801,0,0,13,0,0.786918395,20,1
0,0,5,11,0,0.771625531,1,0
52.23855071,4.013325075,6,9,1,0.764062856,8,1
0,2.462071915,2,13,1,0.823343301,5,0
5.710226846,0,1,15,1,0.911209436,17,0
1.045915031,10.52076942,2,15,0,0.76523588,8,0
0,12.92857829,0,14,0,0.810003664,10,0
29.44404773,4.866846797,0,13,0,0.817275228,2,0
0,17.78501484,4,9,0,0.992936959,9,0
39.27770707,0,6,14,0,0.986399907,24,1
25.0681325,2.243767385,0,12,0,0.940041275,23,0
16.70664115,0,2,13,0,0.772497676,3,1
0,0,3,17,1,0.720411194,18,0
1.738131793,3.275815839,3,15,0,0.795071241,7,0
60.76451823,2.912513447,4,15,0,0.780038365,15,0
49.4891053,18.11905018,5,10,0,0.85177774,21,0
0,9.910946815,2,14,0,0.933318373,22,0
31.69540262,0,2,8,0,0.957496882,20,0
60.58710167,21.28686225,0,8,1,0.953459226,18,0
0,15.39972359,6,14,1,0.807902668,3,1
51.36969952,9.457930556,2,17,1,0.906170303,23,0
0,1.93851425,1,16,1,0.793850259,14,0
52.57660089,0,5,14,0,0.718271663,24,0
0,0.583364441,0,17,0,0.91046958,2,0
0,14.16953691,1,12,0,0.702948266,14,0
0,21.57043916,4,15,0,0.822754776,22,0
29.42469896,18.39611784,3,9,0,0.798813781,11,0
38.80208316,0,4,16,0,0.908013262,16,0
0,0,3,13,0,0.929873642,8,0
55.58931711,5.354879249,4,16,0,0.791228391,7,0
0,0,2,9,0,0.943488104,11,0
24.3662079,7.050007971,1,10,0,0.788175028,3,0
0,2.672073836,3,15,0,0.833897908,17,0
0,0,0,8,0,0.918105558,14,0
29.39429099,0,1,17,0,0.907876069,6,0
0,8.82093632,0,14,0,0.996210542,8,0
10.25496274,0,1,14,0,0.767548307,22,0
71.88164035,0,1,8,0,0.898695374,5,0
1.732790869,0,4,16,0,0.882904572,8,0
64.32254583,3.788830688,3,15,0,0.974529536,2,0
0,20.52578116,3,11,0,0.746908642,15,0
